name,lat,long,dockcount,landmark,marker-color,marker-symbol
San Jose Diridon Caltrain Station,37.329732,-121.901782,27,San Jose,,
San Jose Civic Center,37.330698,-121.888979,15,San Jose,,
Santa Clara at Almaden,37.333988,-121.894902,11,San Jose,,
Adobe on Almaden,37.331415,-121.8932,19,San Jose,,
San Pedro Square,37.336721,-121.894074,15,San Jose,,
Paseo de San Antonio,37.333798,-121.886943,15,San Jose,,
San Salvador at 1st,37.330165,-121.885831,15,San Jose,,
Japantown,37.348742,-121.894715,15,San Jose,,
San Jose City Hall,37.337391,-121.886995,15,San Jose,,
MLK Library,37.335885,-121.88566,19,San Jose,,
SJSU 4th at San Carlos,37.332808,-121.883891,19,San Jose,,
St James Park,37.339301,-121.889937,15,San Jose,,
Arena Green / SAP Center,37.332692,-121.900084,19,San Jose,,
SJSU - San Salvador at 9th,37.333955,-121.877349,15,San Jose,,
Franklin at Maple,37.481758,-122.226904,15,Redwood City,,
Redwood City Caltrain Station,37.486078,-122.232089,25,Redwood City,,
San Mateo County Center,37.488501,-122.231061,15,Redwood City,,
Redwood City Public Library,37.484219,-122.227424,15,Redwood City,,
Broadway at Main,37.486725,-122.225551,15,Redwood City,,
Redwood City Medical Center,37.487682,-122.223492,15,Redwood City,,
Mountain View City Hall,37.389218,-122.081896,15,Mountain View,,
Mountain View Caltrain Station,37.394358,-122.076713,23,Mountain View,,
San Antonio Caltrain Station,37.40694,-122.106758,23,Mountain View,,
Evelyn Park and Ride,37.390277,-122.066553,15,Mountain View,,
San Antonio Shopping Center,37.400443,-122.108338,15,Mountain View,,
Castro Street and El Camino Real,37.385956,-122.083678,11,Mountain View,,
Rengstorff Avenue / California Street,37.400241,-122.099076,15,Mountain View,,
Palo Alto Caltrain Station,37.443988,-122.164759,23,Palo Alto,,
University and Emerson,37.444521,-122.163093,11,Palo Alto,,
California Ave Caltrain Station,37.429082,-122.142805,15,Palo Alto,,
Cowper at University,37.448598,-122.159504,11,Palo Alto,,
Park at Olive,37.4256839,-122.1377775,15,Palo Alto,,
Powell Street BART,37.783871,-122.408433,19,San Francisco,,
Clay at Battery,37.795001,-122.39997,15,San Francisco,,
Davis at Jackson,37.79728,-122.398436,15,San Francisco,,
Commercial at Montgomery,37.794231,-122.402923,15,San Francisco,,
Washington at Kearney,37.795425,-122.404767,15,San Francisco,,
Post at Kearney,37.788975,-122.403452,19,San Francisco,,
Embarcadero at Vallejo,37.799953,-122.398525,15,San Francisco,,
Spear at Folsom,37.789625,-122.390264,19,San Francisco,,
Harry Bridges Plaza (Ferry Building),37.795392,-122.394203,23,San Francisco,,
Embarcadero at Folsom,37.791464,-122.391034,19,San Francisco,,
Embarcadero at Bryant,37.787152,-122.388013,15,San Francisco,,
Temporary Transbay Terminal (Howard at Beale),37.789756,-122.394643,23,San Francisco,,
Beale at Market,37.792251,-122.397086,19,San Francisco,,
5th at Howard,37.781752,-122.405127,15,San Francisco,,
San Francisco City Hall,37.77865,-122.418235,19,San Francisco,,
Golden Gate at Polk,37.781332,-122.418603,23,San Francisco,,
Embarcadero at Sansome,37.80477,-122.403234,15,San Francisco,,
2nd at Townsend,37.780526,-122.390288,27,San Francisco,,
2nd at Folsom,37.785299,-122.396236,19,San Francisco,,
Howard at 2nd,37.786978,-122.398108,19,San Francisco,,
2nd at South Park,37.782259,-122.392738,15,San Francisco,,
Townsend at 7th,37.771058,-122.402717,15,San Francisco,,
South Van Ness at Market,37.774814,-122.418954,19,San Francisco,,
Market at 10th,37.776619,-122.417385,27,San Francisco,,
Yerba Buena Center of the Arts (3rd @ Howard),37.784878,-122.401014,19,San Francisco,,
San Francisco Caltrain 2 (330 Townsend),37.776377,-122.39607,23,San Francisco,,
San Francisco Caltrain (Townsend at 4th),37.776617,-122.39526,19,San Francisco,,
Powell at Post (Union Square),37.788446,-122.408499,19,San Francisco,,
Civic Center BART (7th at Market),37.780356,-122.412919,23,San Francisco,,
Grant Avenue at Columbus Avenue,37.798522,-122.407245,15,San Francisco,,
Steuart at Market,37.794139,-122.394434,23,San Francisco,,
Mechanics Plaza (Market at Battery),37.7913,-122.399051,19,San Francisco,,
Market at 4th,37.786305,-122.404966,19,San Francisco,,
Market at Sansome,37.789625,-122.400811,27,San Francisco,,
San Jose Government Center,37.352601,-121.905733,15,San Jose,,
Broadway St at Battery St,37.798541,-122.400862,15,San Francisco,,
Mezes Park,37.491269,-122.236234,15,Redwood City,,
Ryland Park,37.342725,-121.895617,15,San Jose,,